"dataset_ID","format_flag","dataset_name","data_source","system","climate","taxa","organism","location","CentralLatitude","CentralLongitude","LatLong_sites","Raw_datafile_name","Raw_start_year","Raw_end_year","Raw_nRecs","Raw_nTime","Raw_nSpecies","Raw_siteUnit","spatial_scale_variable","Raw_nSites","Notes_siteFormat","Notes_spFormat","Raw_spatial_grain","Raw_spatial_grain_unit","Raw_Mean_Individuals_perSiteYear","Raw_Min_Individuals_perSiteYear","Raw_Max_Individuals_perSiteYear","countFormat","Notes_countFormat","Formatted_nRecs","Formatted_start_year","Formatted_end_year","Formatted_nSites","Formatted_nTime","Formatted_nSpecies","Formatted_Mean_Individuals_perSiteYear","Formatted_Min_Individuals_perSiteYear","Formatted_Max_Individuals_perSiteYear","Formatted_spatial_grain","Formatted_spatial_grain_unit","Notes_timeFormat","subannualTgrain","PropOcc_notes","General_notes","Citation1","Citation2","Citation3","Citation4","Citation5","Citation6"
254,1,"Portal Rodents","http://esapubs.org/archive/ecol/E090/118/metadata.htm","Terrestrial","Temperate","Mammal","Rodents","Portal, AZ",NA,NA,"N",NA,NA,NA,NA,NA,NA,"site_plot","Y",NA,"data can be analyzed at the scale of the entire ""site"" or at the ""plot""","All non-rodents that were not identified to species were removed based on the species table associated with this dataset.",NA,NA,NA,NA,NA,"count","Each row represents the trapping of a single individual, so count=1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"year, month, and day fields combined into single date field","Y","","","Ernest et al. ","","","","",""
255,1,"Hinkley Point fish","http://www.nature.com/nature/journal/v422/n6933/full/nature01547.html","Marine","Temperate","Fish","Fish","Hinkley Point, Bristol Channel, UK",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Magurran and Henderson 2003","","","","",""
256,0,"Elba island butterflies","","Terrestrial","Temperate","Arthropod","Butterflies","Elba island, Italy",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","Dapporto 2009","","","","",""
257,1,"Ireland amphipods","http://www.sciencedirect.com/science/article/pii/0022098196000305","Marine","Temperate","Arthropod","Amphipods","Lough Hyne, Ireland",50.51666667,9.3,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","only monthly presence-absence info available","Costello and Myers 1996","","","","",""
258,0,"2003 Prescribed Burn Effect on Chihuahuan Desert Grasses and Shrubs at the Sevilleta National Wildlife Refuge, New Mexico: Species Composition Study (2004- ) ","http://sev.lternet.edu/data/sev-166","Terrestrial","Temperate","Plant","Plant","Sevilleta LTER, NM",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","",""
259,1,"Portal Plants, winter","http://esapubs.org/archive/ecol/E090/118/metadata.htm","Terrestrial","Temperate","Plant","Plant","Portal, AZ",NA,NA,"N",NA,NA,NA,NA,NA,NA,"Plot_Quadrat","Y",NA,"Plot and Quadrat fields concatenated.","All taxa not identified to species were removed, except those reflecting particular
=======
1""",NA,NA,NA,NA,NA,"N",NA,NA,NA,NA,NA,NA,"site","N",NA,"each site is a full 50-stop BBS route",NA,NA,"waterbirds and nocturnal birds had previously been filtered out",NA,"","","","","","","",""
260,1,"Mediterranean tintinnid ciliates","http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2699.2008.02046.x/abstract","Marine","Temperate","Plankton","Tintinnid ciliates","Northwest Mediterranean",43.41666667,8,"",NA,NA,NA,NA,12,27,"site","",1,"","",NA,NA,NA,NA,NA,"count","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","only temporal occupancy data available from Fig 3","Dolan et al. 2009. Dynamics of core and occasional species in the marine plankton: tintinnid ciliates in the north-west Mediterranean Sea. Journal of Biogeography 36: 887-895.","","","","",""
261,0,"Indiana stream fish assemblage","http://www.jstor.org/stable/2461070?seq=1#page_scan_tab_contents","Aquatic","Temperate","Fish","Fish","Indiana",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","Grossman et al. 1982. Stochasticity in structural and functional characteristics of an Indiana stream fish assemblage: a test of community theory","","","","",""
262,0,"Rocky intertidal fish assemblage","http://www.jstor.org/stable/2461182","Marine","Temperate","Fish","Fish","Dillon Beach, California",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","13 surveys over 3 years","Grossman 1982. Dynamics and organization of a rocky intertidal fish assemblage: the persistence and resilience of taxocene structure","","","","",""
263,0,"Farne Island birds","http://www.jstor.org/stable/1744518","Terrestrial","Temperate","Bird","Bird","Farne Island, UK",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","Diamond JM and May RM. 1977. Species turnover rates on islands: dependence on census interval.","","","","",""
264,0,"Bialowieza National Park bird assemblage","http://www.bioone.org/doi/abs/10.3161/000164510X551354","Terrestrial","Temperate","Bird","Bird","Poland",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","data spread across multiple publications","Weso?owski T, Mitrus C, Czeszczewik D, Rowi?ski P (2010) Breeding bird dynamics in a primeval temperate forest over 35 years: variation and stability in a changing world. Acta Ornithologica 45:209�232","Weso?owski T, Rowi?ski P, Mitrus C, Czeszczewik D (2006) Breeding bird community of a primeval temperate forest (Bia?owie?a National Park, Poland) at the beginning of the 21st century. Acta Ornithologica 41:55�70","Weso?owski T, Tomia?oj? L, Mitrus C, Rowi?ski P, Czeszczewik D (2002) Breeding bird community of a primeval temperate forest (Bia?owie?a National Park, Poland) at the end of the 20th century. Acta Ornithologica 37:27�45","","",""
265,0,"Species trends, turnover and composition of a woodland bird community in southern Sweden during a period of 57 years","http://www.sofnet.org/1020.0.1.0/274/download_24762.php","Terrestrial","Temperate","Bird","Bird","Sweden",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","Svensson et al. 2010. Species trends, turnover and composition of a woodland bird community in southern Sweden during a period of 57 years. Ornis Svecica.","","","","",""
266,0,"The 37-year dynamics of a subalpine passerine bird community, with special emphasis on the influence of environmental temperature and Epirrita autumnata cycles","http://www.luvre.org/data_o_pdf/Luvre-130,%202004%20Enemar%20mfl,%2037%20ar%20skogen.pdf","Terrestrial","Temperate","Bird","Bird","Gaisatj and Valle mountains, Sweden",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","Enemar et al. 2004. The 37-year dynamics of a subalpine bird community, with special emphasis on the influence of environmental temperature and Epirrita autumnata cycles. Ornis Svecica 14: 63-106.","","","","",""
267,0,"A long-term bird population study in an Appalachian spruce forest","http://www.jstor.org/stable/4161914","Terrestrial","Temperate","Bird","Bird","Gaudineer Knob, West Virginia",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","Hall GA. 1984. A long-term bird population study in an Appalachian spruce forest. Wilson Bulletin 96: 228-240.","","","","",""
268,0,"Long-term dynamics of breeding birds in broad-leaved deciduous forest on Hanikatsi Island in the West-Estonian archipelago","http://www.birdlife.fi/ornisfennica/pdf/2006/of_83_124-130.pdf","Terrestrial","Temperate","Bird","Bird","Hanikatsi Island, Estonia",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","Contact Leito for data","Leito et al. 2006. Long-term dynamics of breeding birds in broad-leaved deciduous forest on Hanikatsi Island in the West-Estonian archipelago. Ornis Fenn 83: 124-130.","","","","",""
269,0,"Species composition and population fluctuations of alpine bird communities during 38 years in the Scandinavian mountain range","http://www.luvre.org/data_o_pdf/Luvre-135,%202006%20Svensson,%20Heden%2038%20ar.pdf","Terrestrial","Temperate","Bird","Bird","Sweden",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","Svensson 2006. Species composition and population fluctuations of alpine bird communities during 38 years in the Scandinavian mountain range. Ornis Svecica 16: 183-210.","","","","",""
270,0,"Breeding Bird Populations at William Trelease Woods","https://www.ideals.illinois.edu/handle/2142/25182","Terrestrial","Temperate","Bird","Bird","Illinois",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","Kendeigh SC. 1982. Bird populations in east central Illinois: Fluctuations, variations, and development over a half-century. University of Illinois Press","","","","",""
271,0,"Breeding Bird Populations on Abandoned Farmland in Robert Allerton Park","https://www.ideals.illinois.edu/handle/2142/25182","Terrestrial","Temperate","Bird","Bird","Illinois",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","Kendeigh SC. 1982. Bird populations in east central Illinois: Fluctuations, variations, and development over a half-century. University of Illinois Press","","","","",""
272,0,"Structure and dynamics of a passerine bird community in a spruce-dominated boreal forest","http://www.sekj.org/PDF/anzf30/anz30-043-054.pdf","Terrestrial","Temperate","Bird","Bird","Norway",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","Hogstad, O. 1993. Structure and dynamics of a passerine bird community in a spruce-dominated boreal forest. A 12-yr study. Ann Zool Fennici 30:43-54.","","","","",""
273,0,"SGS-LTER Long-term monitoring project: small mammals on trapping webs on the Central Plains Experimental Range, Nunn, Colorado, USA 1994-2011","http://sgslter.colostate.edu/dataset_view.aspx?id=LTMntrSmlMamWebs","Terrestrial","Temperate","Mammal","Mammal","SGS LTER, Colorado",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","contact Paul Stapp at pstapp@fullerton.edu for data access","Stapp, P., B. Van Horne, M.D. Lindquist. 2008. Ecology of mammals of shortgrass steppe. Pages 132-180 in W.K. Lauenroth and I.C. Burke. Ecology of the Shortgrass Steppe: A Long Term Perspective. Oxford Univ. Press, NY","","","","",""
274,1,"Konza LTER grasshopper monitoring","http://www.konza.ksu.edu/knz/pages/data/KnzEntity.aspx?id=CGR022","Terrestrial","Temperate","Arthropod","Grasshopper","Konza Prairie LTER, KS",NA,NA,"N","CGR022.dat",1982,2010,9139,147,38,"WATERSHED_REPSITE","Y",38,"The site field reflects both the WATERSHED and REPSITE within each watershed.","Several names had multiple typo forms; some unknown spp eliminated while some 
species were merged to the genus name if frequently listed as unknown",20,"20",199.601694915254,6,2305,"count","Count is the sum of individuals seen over 10 sets of sweep-net samples",6963,1982,2010,32,24,"38","157.986206896552",3,"850",NA,NA,"Separate year, month, and day fields were combined into a date object.","Y","","Data acknowledgement statement: Data for XXX was supported by the NSF Long Term Ecological Research Program at Konza Prairie Biological Station.","Jonas, J.L. and A. Joern. 2007. Grasshopper (Orthoptera: Acrididae) communities respond to fire, bison grazing and weather in North American tallgrass prairie: a long-term study. Oecologia 153: 699-711.","","","","",""
275,0,"El Verde Grid long-term invertebrate data","http://luq2.lternet.edu/data/luqmetadata107","Terrestrial","Temperate","Invertebrate","Snail","Luquillo LTER, Puerto Rico",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","Willig et al. 2007. Scholarly articles for Cross-scale responses of biodiversity to hurricane and anthropogenic disturbance in a tropical forest. Ecosystem.","","","","",""
276,1,"Luquillo LTER bird point counts","http://luq.lternet.edu/data/luqmetadata23","Terrestrial","Tropical","Bird","Bird","Luquillo LTER, Puerto Rico",NA,NA,"N","ALL_ElVerde_GT_25m.csv and ALL_ElVerde_LT_25m.csv",1989,2012,3802,68,26,"PLACE_gridpoint","Y",73,"The site field is a concatenation of PLACE and gridpoint, which is a concatenation of PLOT1 and PLOT2 coordinates.","Totals (sums across spp) and two unknown categories were removed",2827,"m2",7.78255675029869,1,17,"count","Number of individuals recorded on point counts",2209,1992,2012,1,17,"24","223.764705882353",143,"368",NA,NA,"Converted to date object, removed surveys outside of julian day range 128-170","Y","","","","","","","",""
277,0,"North Temperate Lakes LTER: Zooplankton - Trout Lake Area 1982 - current","https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-zooplankton-trout-lake-area-1982-current","Aquatic","Temperate","Plankton","Zooplankton","North Temperate Lakes LTER",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","","","","","",""
278,0,"North Temperate Lakes LTER: Phytoplankton - Trout Lake Area 1984 - current","https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-phytoplankton-trout-lake-area-1984-current","Aquatic","Temperate","Plankton","Phytoplankton","North Temperate Lakes LTER",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","","","","","",""
279,0,"North Temperate Lakes LTER: Zooplankton - Madison Lakes Area 1997 - current","https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-zooplankton-madison-lakes-area-1997-current","Aquatic","Temperate","Plankton","Zooplankton","North Temperate Lakes LTER",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","","","","","",""
280,0,"North Temperate Lakes LTER: Phytoplankton - Madison Lakes Area 1995 - current","https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-phytoplankton-madison-lakes-area-1995-current","Aquatic","Temperate","Plankton","Phytoplankton","North Temperate Lakes LTER",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","","","","","",""
281,0,"North Temperate Lakes LTER: Macrophyte Transects - Trout Lake 1982 - current","https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-macrophyte-transects-trout-lake-1982-current","Aquatic","Temperate","Plant","Macrophytes","North Temperate Lakes LTER",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","Sounds like this dataset only counts a few species and so would be unusable, but requires confirmation","","","","","",""
282,1,"North Temperate Lakes LTER: Macrophyte Species at Quadrat Level - Trout Lake 1993 - current","https://lter.limnology.wisc.edu/dataset/north-temperate-lakes-lter-macrophyte-species-quadrat-level-trout-lake-1993-current","Aquatic","Temperate","Plant","Macrophytes","North Temperate Lakes LTER",NA,NA,"N","north_temperate_lakes_lter__macrophyte_species_at_quadrat_level_-_trout_lake.csv",1993,2014,12567,51,29,"site_quadrat","Y",181,"The site field is a concatenation of site and quadrat.","A number of names represented in two obvious forms; 2 names (SAJ and VAL) assumed to be shorthand for Sagitarria and Vallisneria.",0.25,"0.25",NA,NA,NA,"presence","No count data provided, so 1s added to indicate presence",8865,1993,2014,2,22,"28",NA,NA,NA,NA,NA,"The only modification to this field involved converting to a date object.","Y","","","","","","","",""
283,0,"PISCO: Intertidal: MARINe Core Surveys: Species Counts","https://cn.dataone.org/onemercury/send/xsltText2?pid=doi:10.6085/AA/pisco_intertidal.81.7&fileURL=https://cn.dataone.org/cn/v1/resolve/doi%3A10.6085%2FAA%2Fpisco_intertidal.81.7&full_datasource=PISCO%20MN&full_queryString=%20text%20:%20PISCO%20AND%20has%20direct%20data%20AND%20project:Multi-Agency%20Rocky%20Intertidal%20Network%20AND%20author:Pete%20Raimondi%20AND%20contactOrganization:MARINe%20AND%20Keywords:Intertidal%20Community%20Structure%20Data&ds_id=#top","Marine","Temperate","Invertebrate","Rocky intertidal organisms","Western North America",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","","","","","",""
284,0,"PISCO: Intertidal: Coastal Biodiversity Surveys: Quadrat Surveys","https://cn.dataone.org/onemercury/send/xsltText2?pid=doi:10.6085/AA/pisco_intertidal.52.7&fileURL=https://cn.dataone.org/cn/v1/resolve/doi%3A10.6085%2FAA%2Fpisco_intertidal.52.7&full_datasource=PISCO%20MN&full_queryString=%20text%20:%20MARINe%20AND%20has%20direct%20data%20AND%20%28%20datasource%20:%28%20urn:node:PISCO%20%20%29%20%29%20%20AND%20project:Partnership%20for%20Interdisciplinary%20Studies%20of%20Coastal%20Oceans%20AND%20author:Pete%20Raimondi%20AND%20contactOrganization:PISCO%20AND%20Keywords:Intertidal%20Coastal%20Biodiversity%20Survey&ds_id=#top","Marine","Temperate","Invertebrate","Rocky intertidal organisms","Western North America",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","","","","","",""
285,0,"An efficient light-trap for catching insects. Acta Entomologica","http://www3.imperial.ac.uk/cpb/databases/gpdd","Terrestrial","Temperate","Invertebrate","Lepidoptera","Czech Republic",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","Data available from Global Population Dynamics Database, datasetIDs 6863-6996","Novak, I. 1983. An efficient light-trap for catching insects. Acta Entomologica Bohemoslavaca 80: 29-34.","","","","",""
286,0,"Bromeliad invertebrate counts at different elevations in the LEF","http://luq.lternet.edu/data/luqmetadata131","Aquatic","Tropical","Invertebrate","Bromeliad invertebrates","Luquillo LTER, Puerto Rico",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","Richardson, B. 1999. The Bromeliad Microcosm and the assessment of faunal diversity in a Neotropical forest. Biotropica 31: 321-336.","","","","",""
287,0,"Weekly record of bird species observed on Konza Prairie","http://www.konza.ksu.edu/knz/pages/data/Knzdsdetail.aspx?datasetCode=CBC01","Terrestrial","Temperate","Bird","Bird","Konza Prairie LTER, KS",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","","","","","",""
288,0,"Fish population on selected watersheds at Konza Prairie","http://www.konza.ksu.edu/knz/pages/data/KnzEntity.aspx?id=CFP012","Aquatic","Temperate","Fish","Fish","Konza Prairie LTER, KS",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","","","","","",""
289,0,"Long-term stem inventory data from tropical rain forest plots in Australia","http://esapubs.org/archive/ecol/E095/209/","Terrestrial","Tropical","Plant","Tree","Australia",NA,NA,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","Only stems >10 cm dbh","Bradford et al. 2014. Long-term stem inventory data from tropical rain forest plots in Australia. Ecology 95:2362.","","","","",""
290,0,"HJ Andrews TP108: Herb Layer in Uncut Plots: Cover, Height, Number of Tree Seedlings (U-B3)","http://andrewsforest.oregonstate.edu/data/abstract.cfm?dbcode=TP108&topnav=97","Terrestrial","Temperate","Plant","Understory vegetation","Blue River, OR 97413",44.67350699,-120.4082845,"",NA,NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","",""
291,0,"Fourteen years of mapped, permanent quadrats in a northern mixed prairie, USA","http://esapubs.org/archive/ecol/E092/143/metadata.htm","Terrestrial","Temperate","Plant","Plant","Miles City, Montana",46.316667,-105.8,"","allrecords_density.csv",NA,NA,NA,NA,NA,"","",NA,"","",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,"","","","","Anderson, Vermeire, and Adler. 2011. Fourteen years of mapped, permanent quadrats in a northern mixed prairie, USA. Ecology 92:1703.","","","","",""
